Company name,ASX code,GICS industry group
1300 SMILES LIMITED,ONT,Health Care Equipment & Services
1414 DEGREES LIMITED,14D,Capital Goods
1ST GROUP LIMITED,1ST,Health Care Equipment & Services
360 CAPITAL GROUP,TGP,Real Estate
360 CAPITAL TOTAL RETURN FUND,TOT,Not Applic
3D OIL LIMITED,TDO,Energy
3P LEARNING LIMITED..,3PL,Consumer Services
4DS MEMORY LIMITED,4DS,Semiconductors & Semiconductor Equipment
5G NETWORKS LIMITED,5GN,Telecommunication Services
88 ENERGY LIMITED,88E,Energy
8COMMON LIMITED,8CO,Software & Services
8I HOLDINGS LTD,8IH,Diversified Financials
8IP EMERGING COMPANIES LIMITED,8EC,Not Applic
9 SPOKES INTERNATIONAL LIMITED,9SP,Software & Services
99 WUXIAN LIMITED,NNW,Retailing
A-CAP ENERGY LIMITED,ACB,Energy
A2B AUSTRALIA LIMITED,A2B,Transportation
ABACUS PROPERTY GROUP,ABP,Real Estate
ABSOLUTE EQUITY PERFORMANCE FUND LIMITED,AEG,Not Applic
ABUNDANT PRODUCE LIMITED,ABT,"Food, Beverage & Tobacco"
ACCENT GROUP LIMITED,AX1,Retailing
ACORN CAPITAL INVESTMENT FUND LIMITED,ACQ,Not Applic
ACROW FORMWORK AND CONSTRUCTION SERVICES LIMITED,ACF,Capital Goods
ACRUX LIMITED,ACR,"Pharmaceuticals, Biotechnology & Life Sciences"
ACTINOGEN MEDICAL LIMITED,ACW,"Pharmaceuticals, Biotechnology & Life Sciences"
ADACEL TECHNOLOGIES LIMITED,ADA,Software & Services
ADAIRS LIMITED,ADH,Retailing
ADALTA LIMITED,1AD,"Pharmaceuticals, Biotechnology & Life Sciences"
ADAVALE RESOURCES LIMITED,ADD,Energy
ADELAIDE BRIGHTON LIMITED,ABC,Materials
ADHERIUM LIMITED,ADR,Health Care Equipment & Services
ADMIRALTY RESOURCES NL.,ADY,Materials
ADRIATIC METALS PLC,ADT,Materials
ADSLOT LTD,ADJ,Software & Services
ADVANCE NANOTEK LIMITED,ANO,Materials
ADVANCED BRAKING TECHNOLOGY LTD,ABV,Automobiles & Components
ADVERITAS LIMITED,AV1,Media & Entertainment
ADX ENERGY LTD,ADX,Energy
AEON METALS LIMITED.,AML,Materials
AERIS RESOURCES LIMITED,AIS,Materials
AFRICAN GOLD LTD.,A1G,Materials
AFTERPAY TOUCH GROUP LIMITED,APT,Software & Services
AGL ENERGY LIMITED.,AGL,Utilities
AGUIA RESOURCES LIMITED,AGR,Materials
AINSWORTH GAME TECHNOLOGY LIMITED,AGI,Consumer Services
AIR NEW ZEALAND LIMITED,AIZ,Transportation
AJ LUCAS GROUP LIMITED,AJL,Capital Goods
ALACER GOLD CORP.,AQG,Materials
ALARA RESOURCES LIMITED,AUQ,Materials
ALCHEMY RESOURCES LIMITED,ALY,Materials
ALCIDION GROUP LIMITED,ALC,Health Care Equipment & Services
ALDERAN RESOURCES LIMITED,AL8,Materials
ALDORO RESOURCES LIMITED,ARN,Materials
ALE PROPERTY GROUP,LEP,Real Estate
ALEXIUM INTERNATIONAL GROUP LIMITED,AJX,Materials
ALICANTO MINERALS LIMITED,AQI,Materials
ALKANE RESOURCES LIMITED,ALK,Materials
ALLEGIANCE COAL LIMITED,AHQ,Materials
ALLIANCE AVIATION SERVICES LIMITED,AQZ,Transportation
ALLIANCE MINERAL ASSETS LIMITED,A40,Materials
ALLIANCE RESOURCES LIMITED,AGS,Materials
ALLIGATOR ENERGY LIMITED,AGE,Energy
ALPHA HPA LIMITED,A4N,Materials
ALS LIMITED,ALQ,Commercial & Professional Services
