Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,11.9362,11.9809,11.9362,11.9809,8.392773,131.0
2012-01-03,11.9809,11.9809,11.9809,11.9809,8.392773,2277.0
2012-01-04,11.9452,12.0257,11.9362,12.0257,8.424156,862.0
2012-01-05,12.0257,12.0257,12.0257,12.0257,8.424156,1118.0
2012-01-08,12.0257,12.2045,12.0257,12.2045,8.549408,2829.0
2012-01-09,12.2045,12.4727,12.2045,12.2045,8.549408,5704.0
2012-01-10,12.2045,12.2045,12.2045,12.2045,8.549408,0.0
2012-01-11,12.3833,12.3833,12.2492,12.2492,8.580722999999999,6711.0
2012-01-12,12.2492,12.2492,12.2492,12.2492,8.580722999999999,0.0
2012-01-15,12.3296,12.3296,12.3296,12.3296,8.637042,783.0
2012-01-16,12.3296,12.3296,12.3296,12.3296,8.637042,0.0
2012-01-17,12.3296,12.3296,12.3296,12.3296,8.637042,0.0
2012-01-18,12.1598,12.1598,12.0525,12.0614,8.449163,1314.0
2012-01-19,12.3296,12.3296,12.3296,12.3296,8.637042,4749.0
2012-01-22,12.3296,12.3296,12.3296,12.3296,8.637042,0.0
2012-01-23,12.3296,12.3833,12.0972,12.0972,8.474242,2796.0
2012-01-24,12.0972,12.0972,12.0972,12.0972,8.474242,0.0
2012-01-26,12.3833,12.3833,12.3833,12.3833,8.674660000000001,1904.0
2012-01-29,12.3833,12.3833,12.3833,12.3833,8.674660000000001,1284.0
2012-01-30,12.3833,12.3833,12.3833,12.3833,8.674660000000001,3219.0
2012-01-31,12.3833,12.3833,12.3833,12.3833,8.674660000000001,0.0
2012-02-01,12.3833,12.3833,12.3833,12.3833,8.674660000000001,0.0
2012-02-02,12.3386,12.3386,12.1598,12.1598,8.518096,783.0
2012-02-05,12.3833,12.3833,12.3296,12.3296,8.637042,2785.0
2012-02-06,12.3207,12.3207,12.3207,12.3207,8.630806,1322.0
2012-02-07,12.3207,12.3207,12.3207,12.3207,8.630806,0.0
2012-02-08,12.0972,12.0972,12.0972,12.0972,8.474242,115.0
2012-02-09,12.0972,12.0972,11.82,11.82,8.280059,3434.0
2012-02-12,11.82,11.82,11.82,11.82,8.280059,0.0
2012-02-13,11.9094,11.9094,11.8915,11.8915,8.330149,10113.0
2012-02-14,11.8915,11.8915,11.8915,11.8915,8.330149,0.0
2012-02-15,11.8915,11.8915,11.8915,11.8915,8.330149,0.0
2012-02-16,11.8915,11.8915,11.8915,11.8915,8.330149,0.0
2012-02-19,12.0703,12.0703,11.8915,11.9809,8.392773,1543.0
2012-02-20,11.9809,11.9809,11.9809,11.9809,8.392773,895.0
2012-02-21,11.9094,11.9809,11.9094,11.9809,8.392773,1678.0
2012-02-22,11.9809,11.9809,11.9809,11.9809,8.392773,0.0
2012-02-23,11.9452,11.9452,11.9452,11.9452,8.367764,1230.0
2012-02-26,11.9809,11.9809,11.9452,11.9452,8.367764,2532.0
2012-02-27,11.9899,11.9899,11.9809,11.9809,8.392773,2237.0
2012-02-28,11.9809,11.9809,11.9809,11.9809,8.392773,0.0
2012-02-29,12.2492,12.2492,12.2492,12.2492,8.580722999999999,7829.0
2012-03-01,12.3207,12.3207,12.3207,12.3207,8.630806,1118.0
2012-03-04,12.1598,12.1598,12.1598,12.1598,8.518096,8388.0
2012-03-05,12.2492,12.2492,12.2492,12.2492,8.580722999999999,3915.0
2012-03-06,12.2492,12.2492,12.2492,12.2492,8.580722999999999,0.0
2012-03-07,12.0703,12.0703,12.0703,12.0703,8.455399,7941.0
2012-03-08,12.0703,12.0703,12.0703,12.0703,8.455399,5480.0
2012-03-11,12.0793,12.0793,12.0257,12.0257,8.424156,14403.0
2012-03-12,11.6233,11.6233,10.7292,10.7292,7.774539,831.0
2012-03-13,11.1763,11.220999999999998,11.1763,11.1763,8.098514,2830.0
2012-03-14,11.6233,11.6233,11.6233,11.6233,8.422417999999999,727.0
2012-03-15,11.6233,11.6233,11.6233,11.6233,8.422417999999999,0.0
2012-03-18,11.6233,11.6233,11.6233,11.6233,8.422417999999999,2518.0
2012-03-19,11.2835,11.2835,11.2835,11.2835,8.176192,671.0
2012-03-20,11.2835,11.2835,11.2835,11.2835,8.176192,69.0
2012-03-21,11.2835,11.2835,11.2657,11.2657,8.163295,1376.0
2012-03-22,11.1763,11.1763,10.8633,10.8633,7.87171,2796.0
2012-03-25,10.8633,10.8633,10.8633,10.8633,7.87171,0.0
